id,name,group,section,table_section,sort_order,image,source_sheet,source_row,source_cell,seasons,level,base_time_seconds,base_harvests,base_seed_cost_coins,base_sell_coins,base_stock,base_oil_per_seed,base_yield_per_plot,market_price_flower,sfl_hub_market_price_flower,default_time_seconds,default_seed_cost_coins,default_sell_coins,default_stock,default_yield_per_plot,base_value_source,excel_current,excel_formulas
sunflower,Sunflower,crops,Crops,Basic crops,1,crops/crops/sunflower.png,Informações CropsFrutasGH,4,B4,"[""Spring"", ""Summer""]",Basic,60,,0.01,0.02,800.0,,1,0.00034978,0.0,60,0.01,0.02,800.0,1,SFL Hub recursos.js.descarga from uploaded Nueva carpeta (2).zip,"{""time_seconds"": 48, ""seed_cost_coins"": 0.01, ""sell_coins"": 0.02, ""stock"": 960.0, ""yield_per_plot"": 0.5}","{""time_seconds"": ""=C4*IF(Skills!$B$17=TRUE,Skills!$F$17,1)*IF(Skills!$B$32=TRUE,Skills!$F$32,1)*IF(OR(NFTs!$B$37,NFTs!$B$38,NFTs!$B$39)=TRUE,NFTs!$G$37,1)*IF(NFTs!$B$47=TRUE,NFTs!$G$47,1)*IF(NFTs!$B$89=TRUE,NFTs!$G$89,1)*IF(NFTs!$B$88=TRUE,NFTs!$G$88,1)*(Buds!I21)*IF(Shrine!$B$21=TRUE,Shrine!$H$21,1)"", ""seed_cost_coins"": ""=D4*IF(NFTs!$B$39=TRUE,NFTs!$G$39,1)*IF(NFTs!$B$91=TRUE,NFTs!$G$91,1)*IF(Skills!$B$26=TRUE,Skills!$F$26,1)"", ""sell_coins"": ""=E4*IF(Skills!$B$16=TRUE,Skills!$F$16,1)*IF(Skills!$B$40=TRUE,Skills!$F$40,1)"", ""stock"": ""=F4*IF(NFTs!$B$36=TRUE,NFTs!$G$36,1)"", ""yield_per_plot"": ""=(1*IF(Skills!$B$18=TRUE,Skills!$F$18,1)*IF(OR(NFTs!$B$38,NFTs!$B$39)=TRUE,NFTs!$G$38,1)*IF(NFTs!$B$84=TRUE,NFTs!$G$84,1)*IF(NFTs!$B$92=TRUE,NFTs!$G$92,1)+IF(NFTs!$B$85=TRUE,NFTs!$G$85,0)+IF(NFTs!$B$103=TRUE,NFTs!$G$103,0)+IF(NFTs!$B$48=TRUE,NFTs!$G$48,0)+IF(NFTs!$B$49=TRUE,NFTs!$G$49,0)+IF(Skills!$B$33=TRUE,Skills!$F$33,0)+IF(Skills!$B$45=TRUE,Skills!$G$45,0)+IF(Skills!$B$46=TRUE,Skills!$F$46,0)+IF(NFTs!$B$50=TRUE,NFTs!$G$50,0)+IF(NFTs!$B$90=TRUE,NFTs!$G$90,0)+IF(NFTs!$B$87=TRUE,NFTs!$G$87,0)+IF(Buds!$B$21>Buds!$B$32,Buds!B21,Buds!B32)+(Buds!L27)+IF(AND(Shrine!I30=TRUE,OR(Combo!$Y$32=\""Average Profit per Day\"",Combo!$Y$32=\""Lucro Médio por Dia\"")),Shrine!$O$30,0))*IF(NFTs!$B$86=TRUE,NFTs!$G$86,1)""}"
potato,Potato,crops,Crops,Basic crops,2,crops/crops/potato.png,Informações CropsFrutasGH,5,B5,"[""Summer"", ""Autumn"", ""Winter""]",Basic,300,,0.1,0.14,400.0,,1,0.00035,0.0,300,0.1,0.14,400.0,1,SFL Hub recursos.js.descarga from uploaded Nueva carpeta (2).zip,"{""time_seconds"": 242, ""seed_cost_coins"": 0.1, ""sell_coins"": 0.14, ""stock"": 480.0, ""yield_per_plot"": 0.5}","{""time_seconds"": ""=C5*IF(Skills!$B$17=TRUE,Skills!$F$17,1)*IF(Skills!$B$32=TRUE,Skills!$F$32,1)*IF(OR(NFTs!$B$37,NFTs!$B$38,NFTs!$B$39)=TRUE,NFTs!$G$37,1)*IF(NFTs!$B$47=TRUE,NFTs!$G$47,1)*IF(NFTs!$B$89=TRUE,NFTs!$G$89,1)*IF(NFTs!$B$88=TRUE,NFTs!$G$88,1)*(Buds!I21)*IF(Shrine!$B$21=TRUE,Shrine!$H$21,1)"", ""seed_cost_coins"": ""=D5*IF(NFTs!$B$39=TRUE,NFTs!$G$39,1)*IF(Skills!$B$26=TRUE,Skills!$F$26,1)"", ""sell_coins"": ""=E5*IF(Skills!$B$16=TRUE,Skills!$F$16,1)*IF(Skills!$B$40=TRUE,Skills!$F$40,1)"", ""stock"": ""=F5*IF(NFTs!$B$36=TRUE,NFTs!$G$36,1)"", ""yield_per_plot"": ""=(1*IF(Skills!$B$18=TRUE,Skills!$F$18,1)*IF(OR(NFTs!$B$38,NFTs!$B$39)=TRUE,NFTs!$G$38,1)*IF(NFTs!$B$84=TRUE,NFTs!$G$84,1)+IF(NFTs!$B$85=TRUE,NFTs!$G$85,0)+IF(NFTs!$B$103=TRUE,NFTs!$G$103,0)+IF(NFTs!$B$48=TRUE,NFTs!$G$48,0)+IF(NFTs!$B$49=TRUE,NFTs!$G$49,0)+IF(Skills!$B$33=TRUE,Skills!$F$33,0)+IF(Skills!$B$45=TRUE,Skills!$G$45,0)+IF(Skills!$B$46=TRUE,Skills!$F$46,0)+IF(NFTs!$B$51=TRUE,NFTs!$G$51,0)+IF(NFTs!$B$52=TRUE,NFTs!$G$52,0)+IF(NFTs!$B$90=TRUE,NFTs!$G$90,0)+IF(NFTs!$B$87=TRUE,NFTs!$G$87,0)+(Buds!B21)+(Buds!L27)+IF(AND(Shrine!I30=TRUE,OR(Combo!$Y$32=\""Average Profit per Day\"",Combo!$Y$32=\""Lucro Médio por Dia\"")),Shrine!$O$30,0))*IF(NFTs!$B$86=TRUE,NFTs!$G$86,1)""}"
rhubarb,Rhubarb,crops,Crops,Basic crops,3,crops/crops/rhubarb.png,Informações CropsFrutasGH,6,B6,"[""Spring""]",Basic,600,,0.15,0.24,400.0,,1,0.00065,0.0,600,0.15,0.24,400.0,1,SFL Hub recursos.js.descarga from uploaded Nueva carpeta (2).zip,"{""time_seconds"": 484, ""seed_cost_coins"": 0.15, ""sell_coins"": 0.24, ""stock"": 480.0, ""yield_per_plot"": 0.5}","{""time_seconds"": ""=C6*IF(Skills!$B$17=TRUE,Skills!$F$17,1)*IF(Skills!$B$32=TRUE,Skills!$F$32,1)*IF(OR(NFTs!$B$37,NFTs!$B$38,NFTs!$B$39)=TRUE,NFTs!$G$37,1)*IF(NFTs!$B$47=TRUE,NFTs!$G$47,1)*IF(NFTs!$B$89=TRUE,NFTs!$G$89,1)*IF(NFTs!$B$88=TRUE,NFTs!$G$88,1)*(Buds!I21)*IF(Shrine!$B$21=TRUE,Shrine!$H$21,1)"", ""seed_cost_coins"": ""=D6*IF(NFTs!$B$39=TRUE,NFTs!$G$39,1)*IF(Skills!$B$26=TRUE,Skills!$F$26,1)"", ""sell_coins"": ""=E6*IF(Skills!$B$16=TRUE,Skills!$F$16,1)*IF(Skills!$B$40=TRUE,Skills!$F$40,1)"", ""stock"": ""=F6*IF(NFTs!$B$36=TRUE,NFTs!$G$36,1)"", ""yield_per_plot"": ""=(1*IF(Skills!$B$18=TRUE,Skills!$F$18,1)*IF(OR(NFTs!$B$38,NFTs!$B$39)=TRUE,NFTs!$G$38,1)*IF(NFTs!$B$84=TRUE,NFTs!$G$84,1)+IF(NFTs!$B$85=TRUE,NFTs!$G$85,0)+IF(NFTs!$B$103=TRUE,NFTs!$G$103,0)+IF(NFTs!$B$48=TRUE,NFTs!$G$48,0)+IF(NFTs!$B$49=TRUE,NFTs!$G$49,0)+IF(Skills!$B$33=TRUE,Skills!$F$33,0)+IF(Skills!$B$45=TRUE,Skills!$G$45,0)+IF(Skills!$B$46=TRUE,Skills!$F$46,0)+IF(NFTs!$B$90=TRUE,NFTs!$G$90,0)+IF(NFTs!$B$87=TRUE,NFTs!$G$87,0)+(Buds!B21)+(Buds!L27)+IF(AND(Shrine!I30=TRUE,OR(Combo!$Y$32=\""Average Profit per Day\"",Combo!$Y$32=\""Lucro Médio por Dia\"")),Shrine!$O$30,0))*IF(NFTs!$B$86=TRUE,NFTs!$G$86,1)""}"
pumpkin,Pumpkin,crops,Crops,Basic crops,4,crops/crops/pumpkin.png,Informações CropsFrutasGH,7,B7,"[""Autumn""]",Basic,1800,,0.2,0.4,300.0,,1,0.0009496,0.0,1800,0.2,0.4,300.0,1,SFL Hub recursos.js.descarga from uploaded Nueva carpeta (2).zip,"{""time_seconds"": 1453, ""seed_cost_coins"": 0.2, ""sell_coins"": 0.4, ""stock"": 360.0, ""yield_per_plot"": 0.5}","{""time_seconds"": ""=C7*IF(Skills!$B$17=TRUE,Skills!$F$17,1)*IF(Skills!$B$32=TRUE,Skills!$F$32,1)*IF(OR(NFTs!$B$37,NFTs!$B$38,NFTs!$B$39)=TRUE,NFTs!$G$37,1)*IF(NFTs!$B$47=TRUE,NFTs!$G$47,1)*IF(NFTs!$B$89=TRUE,NFTs!$G$89,1)*IF(NFTs!$B$88=TRUE,NFTs!$G$88,1)*(Buds!I21)*IF(Shrine!$B$21=TRUE,Shrine!$H$21,1)"", ""seed_cost_coins"": ""=D7*IF(NFTs!$B$39=TRUE,NFTs!$G$39,1)*IF(Skills!$B$26=TRUE,Skills!$F$26,1)"", ""sell_coins"": ""=E7*IF(Skills!$B$16=TRUE,Skills!$F$16,1)*IF(Skills!$B$40=TRUE,Skills!$F$40,1)"", ""stock"": ""=F7*IF(NFTs!$B$36=TRUE,NFTs!$G$36,1)"", ""yield_per_plot"": ""=(1*IF(Skills!$B$18=TRUE,Skills!$F$18,1)*IF(OR(NFTs!$B$38,NFTs!$B$39)=TRUE,NFTs!$G$38,1)*IF(NFTs!$B$84=TRUE,NFTs!$G$84,1)*IF(NFTs!$B$53=TRUE,NFTs!$G$53,1)+IF(NFTs!$B$85=TRUE,NFTs!$G$85,0)+IF(NFTs!$B$103=TRUE,NFTs!$G$103,0)+IF(NFTs!$B$48=TRUE,NFTs!$G$48,0)+IF(NFTs!$B$49=TRUE,NFTs!$G$49,0)+IF(Skills!$B$33=TRUE,Skills!$F$33,0)+IF(Skills!$B$45=TRUE,Skills!$G$45,0)+IF(Skills!$B$46=TRUE,Skills!$F$46,0)+IF(NFTs!$B$55=TRUE,NFTs!$G$55,0)+IF(NFTs!$B$90=TRUE,NFTs!$G$90,0)+IF(NFTs!$B$87=TRUE,NFTs!$G$87,0)+(Buds!B21)+(Buds!L27)+IF(NFTs!$B$54=TRUE,NFTs!$G$54,0)+IF(AND(Shrine!I30=TRUE,OR(Combo!$Y$32=\""Average Profit per Day\"",Combo!$Y$32=\""Lucro Médio por Dia\"")),Shrine!$O$30,0))*IF(NFTs!$B$86=TRUE,NFTs!$G$86,1)""}"
zucchini,Zucchini,crops,Crops,Basic crops,5,crops/crops/zucchini.png,Informações CropsFrutasGH,8,B8,"[""Summer""]",Basic,1800,,0.2,0.4,400.0,,1,0.000769,0.0,1800,0.2,0.4,400.0,1,SFL Hub recursos.js.descarga from uploaded Nueva carpeta (2).zip,"{""time_seconds"": 1453, ""seed_cost_coins"": 0.2, ""sell_coins"": 0.4, ""stock"": 480.0, ""yield_per_plot"": 0.5}","{""time_seconds"": ""=C8*IF(Skills!$B$17=TRUE,Skills!$F$17,1)*IF(Skills!$B$32=TRUE,Skills!$F$32,1)*IF(OR(NFTs!$B$37,NFTs!$B$38,NFTs!$B$39)=TRUE,NFTs!$G$37,1)*IF(NFTs!$B$47=TRUE,NFTs!$G$47,1)*IF(NFTs!$B$89=TRUE,NFTs!$G$89,1)*IF(NFTs!$B$88=TRUE,NFTs!$G$88,1)*IF(NFTs!$B$56=TRUE,NFTs!$G$56,1)*(Buds!I21)*IF(Shrine!$B$21=TRUE,Shrine!$H$21,1)"", ""seed_cost_coins"": ""=D8*IF(NFTs!$B$39=TRUE,NFTs!$G$39,1)*IF(Skills!$B$26=TRUE,Skills!$F$26,1)"", ""sell_coins"": ""=E8*IF(Skills!$B$16=TRUE,Skills!$F$16,1)*IF(Skills!$B$40=TRUE,Skills!$F$40,1)"", ""stock"": ""=F8*IF(NFTs!$B$36=TRUE,NFTs!$G$36,1)"", ""yield_per_plot"": ""=(1*IF(Skills!$B$18=TRUE,Skills!$F$18,1)*IF(OR(NFTs!$B$38,NFTs!$B$39)=TRUE,NFTs!$G$38,1)*IF(NFTs!$B$84=TRUE,NFTs!$G$84,1)+IF(NFTs!$B$85=TRUE,NFTs!$G$85,0)+IF(NFTs!$B$103=TRUE,NFTs!$G$103,0)+IF(NFTs!$B$48=TRUE,NFTs!$G$48,0)+IF(NFTs!$B$49=TRUE,NFTs!$G$49,0)+IF(Skills!$B$33=TRUE,Skills!$F$33,0)+IF(Skills!$B$45=TRUE,Skills!$G$45,0)+IF(Skills!$B$46=TRUE,Skills!$F$46,0)+IF(NFTs!$B$90=TRUE,NFTs!$G$90,0)+IF(NFTs!$B$87=TRUE,NFTs!$G$87,0)+(Buds!B21)+(Buds!L27)+IF(AND(Shrine!I30=TRUE,OR(Combo!$Y$32=\""Average Profit per Day\"",Combo!$Y$32=\""Lucro Médio por Dia\"")),Shrine!$O$30,0))*IF(NFTs!$B$86=TRUE,NFTs!$G$86,1)""}"
carrot,Carrot,crops,Crops,Medium crops,6,crops/crops/carrot.png,Informações CropsFrutasGH,9,B9,"[""Spring"", ""Autumn""]",Medium,3600,,0.5,0.8,200.0,,1,0.001975,0.0,3600,0.5,0.8,200.0,1,SFL Hub recursos.js.descarga from uploaded Nueva carpeta (2).zip,"{""time_seconds"": 2907, ""seed_cost_coins"": 0.5, ""sell_coins"": 0.8, ""stock"": 240.0, ""yield_per_plot"": 0.5315789474}","{""time_seconds"": ""=C9*IF(Skills!$B$17=TRUE,Skills!$F$17,1)*IF(Skills!$B$32=TRUE,Skills!$F$32,1)*IF(OR(NFTs!$B$37,NFTs!$B$38,NFTs!$B$39)=TRUE,NFTs!$G$37,1)*IF(NFTs!$B$47=TRUE,NFTs!$G$47,1)*IF(NFTs!$B$93=TRUE,NFTs!$G$93,1)*IF(NFTs!$B$89=TRUE,NFTs!$G$89,1)*IF(NFTs!$B$88=TRUE,NFTs!$G$88,1)*(Buds!I21)*IF(Shrine!$B$21=TRUE,Shrine!$H$21,1)"", ""seed_cost_coins"": ""=D9*IF(NFTs!$B$39=TRUE,NFTs!$G$39,1)*IF(Skills!$B$26=TRUE,Skills!$F$26,1)"", ""sell_coins"": ""=E9*IF(Skills!$B$16=TRUE,Skills!$F$16,1)*IF(Skills!$B$40=TRUE,Skills!$F$40,1)"", ""stock"": ""=F9*IF(NFTs!$B$36=TRUE,NFTs!$G$36,1)"", ""yield_per_plot"": ""=(1*IF(Skills!$B$18=TRUE,Skills!$F$18,1)*IF(OR(NFTs!$B$38,NFTs!$B$39)=TRUE,NFTs!$G$38,1)*IF(NFTs!$B$84=TRUE,NFTs!$G$84,1)*IF(NFTs!$B$57=TRUE,NFTs!$G$57,1)+IF(NFTs!$B$85=TRUE,NFTs!$G$85,0)+IF(NFTs!$B$103=TRUE,NFTs!$G$103,0)+IF(NFTs!$B$48=TRUE,NFTs!$G$48,0)+IF(NFTs!$B$49=TRUE,NFTs!$G$49,0)+IF(Skills!$B$34=TRUE,Skills!$F$34,0)+IF(NFTs!$B$45=TRUE,NFTs!$G$45,0)+IF(Skills!$B$45=TRUE,Skills!$G$45,0)+IF(Skills!$B$46=TRUE,Skills!$F$46,0)+IF(NFTs!$B$58=TRUE,NFTs!$G$58,0)+IF(NFTs!$B$90=TRUE,NFTs!$G$90,0)+IF(NFTs!$B$87=TRUE,NFTs!$G$87,0)+IF(Buds!D21>Buds!D32,Buds!D21,Buds!D32)+(Buds!M27)+IF(NFTs!$B$59=TRUE,NFTs!$G$59,0)+IF(AND(Shrine!I30=TRUE,OR(Combo!$Y$32=\""Average Profit per Day\"",Combo!$Y$32=\""Lucro Médio por Dia\"")),Shrine!$O$30,0))*IF(NFTs!$B$86=TRUE,NFTs!$G$86,1)""}"
yam,Yam,crops,Crops,Medium crops,7,crops/crops/yam.png,Informações CropsFrutasGH,10,B10,"[""Autumn""]",Medium,3600,,0.5,0.8,180.0,,1,0.003299,0.0,3600,0.5,0.8,180.0,1,SFL Hub recursos.js.descarga from uploaded Nueva carpeta (2).zip,"{""time_seconds"": 2907, ""seed_cost_coins"": 0.5, ""sell_coins"": 0.8, ""stock"": 216.0, ""yield_per_plot"": 0.5315789474}","{""time_seconds"": ""=C10*IF(Skills!$B$17=TRUE,Skills!$F$17,1)*IF(Skills!$B$32=TRUE,Skills!$F$32,1)*IF(OR(NFTs!$B$37,NFTs!$B$38,NFTs!$B$39)=TRUE,NFTs!$G$37,1)*IF(NFTs!$B$47=TRUE,NFTs!$G$47,1)*IF(NFTs!$B$89=TRUE,NFTs!$G$89,1)*IF(NFTs!$B$88=TRUE,NFTs!$G$88,1)*(Buds!I21)*IF(Shrine!$B$21=TRUE,Shrine!$H$21,1)"", ""seed_cost_coins"": ""=D10*IF(NFTs!$B$39=TRUE,NFTs!$G$39,1)*IF(Skills!$B$26=TRUE,Skills!$F$26,1)"", ""sell_coins"": ""=E10*IF(Skills!$B$16=TRUE,Skills!$F$16,1)*IF(Skills!$B$40=TRUE,Skills!$F$40,1)"", ""stock"": ""=F10*IF(NFTs!$B$36=TRUE,NFTs!$G$36,1)"", ""yield_per_plot"": ""=(1*IF(Skills!$B$18=TRUE,Skills!$F$18,1)*IF(OR(NFTs!$B$38,NFTs!$B$39)=TRUE,NFTs!$G$38,1)*IF(NFTs!$B$84=TRUE,NFTs!$G$84,1)+IF(NFTs!$B$85=TRUE,NFTs!$G$85,0)+IF(NFTs!$B$103=TRUE,NFTs!$G$103,0)+IF(NFTs!$B$48=TRUE,NFTs!$G$48,0)+IF(NFTs!$B$49=TRUE,NFTs!$G$49,0)+IF(Skills!$B$34=TRUE,Skills!$F$34,0)+IF(NFTs!$B$45=TRUE,NFTs!$G$45,0)+IF(Skills!$B$45=TRUE,Skills!$G$45,0)+IF(Skills!$B$46=TRUE,Skills!$F$46,0)+IF(NFTs!$B$90=TRUE,NFTs!$G$90,0)+IF(NFTs!$B$87=TRUE,NFTs!$G$87,0)+(Buds!D21)+(Buds!M27)+IF(NFTs!$B$60=TRUE,NFTs!$G$60,0)+IF(AND(Shrine!I30=TRUE,OR(Combo!$Y$32=\""Average Profit per Day\"",Combo!$Y$32=\""Lucro Médio por Dia\"")),Shrine!$O$30,0))*IF(NFTs!$B$86=TRUE,NFTs!$G$86,1)""}"
cabbage,Cabbage,crops,Crops,Medium crops,8,crops/crops/cabbage.png,Informações CropsFrutasGH,11,B11,"[""Spring"", ""Winter""]",Medium,7200,,1.0,1.5,180.0,,1,0.002048,0.0,7200,1.0,1.5,180.0,1,SFL Hub recursos.js.descarga from uploaded Nueva carpeta (2).zip,"{""time_seconds"": 5814, ""seed_cost_coins"": 1.0, ""sell_coins"": 1.5, ""stock"": 216.0, ""yield_per_plot"": 0.5315789474}","{""time_seconds"": ""=C11*IF(Skills!$B$17=TRUE,Skills!$F$17,1)*IF(Skills!$B$32=TRUE,Skills!$F$32,1)*IF(OR(NFTs!$B$37,NFTs!$B$38,NFTs!$B$39)=TRUE,NFTs!$G$37,1)*IF(NFTs!$B$47=TRUE,NFTs!$G$47,1)*IF(NFTs!$B$63=TRUE,NFTs!$G$63,1)*IF(NFTs!$B$89=TRUE,NFTs!$G$89,1)*IF(NFTs!$B$88=TRUE,NFTs!$G$88,1)*(Buds!I21)*IF(Shrine!$B$21=TRUE,Shrine!$H$21,1)"", ""seed_cost_coins"": ""=D11*IF(NFTs!$B$39=TRUE,NFTs!$G$39,1)*IF(Skills!$B$26=TRUE,Skills!$F$26,1)"", ""sell_coins"": ""=E11*IF(Skills!$B$16=TRUE,Skills!$F$16,1)*IF(Skills!$B$40=TRUE,Skills!$F$40,1)"", ""stock"": ""=F11*IF(NFTs!$B$36=TRUE,NFTs!$G$36,1)"", ""yield_per_plot"": ""=(1*IF(Skills!$B$18=TRUE,Skills!$F$18,1)*IF(OR(NFTs!$B$38,NFTs!$B$39)=TRUE,NFTs!$G$38,1)*IF(NFTs!$B$84=TRUE,NFTs!$G$84,1)+IF(NFTs!$B$85=TRUE,NFTs!$G$85,0)+IF(NFTs!$B$103=TRUE,NFTs!$G$103,0)+IF(NFTs!$B$48=TRUE,NFTs!$G$48,0)+IF(NFTs!$B$49=TRUE,NFTs!$G$49,0)+IF(Skills!$B$34=TRUE,Skills!$F$34,0)+IF(NFTs!$B$45=TRUE,NFTs!$G$45,0)+IF(Skills!$B$45=TRUE,Skills!$G$45,0)+IF(Skills!$B$46=TRUE,Skills!$F$46,0)+IF(AND(NFTs!$B$61=TRUE,NFTs!$B$62=FALSE),NFTs!$G$61,0)+IF(AND(NFTs!$B$62=TRUE,NFTs!$B$63=FALSE),NFTs!$G$62,IF(AND(NFTs!$B$62,NFTs!$B$63)=TRUE,NFTs!$H$62))+IF(NFTs!$B$90=TRUE,NFTs!$G$90,0)+IF(NFTs!$B$87=TRUE,NFTs!$G$87,0)+(Buds!D21)+(Buds!M27)+IF(AND(Shrine!$I$30=TRUE,OR(Combo!$Y$32=\""Average Profit per Day\"",Combo!$Y$32=\""Lucro Médio por Dia\"")),Shrine!$O$30,0))*IF(NFTs!$B$86=TRUE,NFTs!$G$86,1)""}"
broccoli,Broccoli,crops,Crops,Medium crops,9,crops/crops/broccoli.png,Informações CropsFrutasGH,12,B12,"[""Autumn""]",Medium,7200,,1.0,1.5,180.0,,1,0.006698,0.0,7200,1.0,1.5,180.0,1,SFL Hub recursos.js.descarga from uploaded Nueva carpeta (2).zip,"{""time_seconds"": 5814, ""seed_cost_coins"": 1.0, ""sell_coins"": 1.5, ""stock"": 216.0, ""yield_per_plot"": 0.5315789474}","{""time_seconds"": ""=C12*IF(Skills!$B$17=TRUE,Skills!$F$17,1)*IF(Skills!$B$32=TRUE,Skills!$F$32,1)*IF(OR(NFTs!$B$37,NFTs!$B$38,NFTs!$B$39)=TRUE,NFTs!$G$37,1)*IF(NFTs!$B$47=TRUE,NFTs!$G$47,1)*IF(NFTs!$B$89=TRUE,NFTs!$G$89,1)*IF(NFTs!$B$88=TRUE,NFTs!$G$88,1)*IF(NFTs!$B$94=TRUE,NFTs!$G$94,1)*(Buds!I21)*IF(Shrine!$B$21=TRUE,Shrine!$H$21,1)"", ""seed_cost_coins"": ""=D12*IF(NFTs!$B$39=TRUE,NFTs!$G$39,1)*IF(Skills!$B$26=TRUE,Skills!$F$26,1)"", ""sell_coins"": ""=E12*IF(Skills!$B$16=TRUE,Skills!$F$16,1)*IF(Skills!$B$40=TRUE,Skills!$F$40,1)"", ""stock"": ""=F12*IF(NFTs!$B$36=TRUE,NFTs!$G$36,1)"", ""yield_per_plot"": ""=(1*IF(Skills!$B$18=TRUE,Skills!$F$18,1)*IF(OR(NFTs!$B$38,NFTs!$B$39)=TRUE,NFTs!$G$38,1)*IF(NFTs!$B$84=TRUE,NFTs!$G$84,1)+IF(NFTs!$B$85=TRUE,NFTs!$G$85,0)+IF(NFTs!$B$103=TRUE,NFTs!$G$103,0)+IF(NFTs!$B$48=TRUE,NFTs!$G$48,0)+IF(NFTs!$B$49=TRUE,NFTs!$G$49,0)+IF(Skills!$B$34=TRUE,Skills!$F$34,0)+IF(NFTs!$B$45=TRUE,NFTs!$G$45,0)+IF(Skills!$B$45=TRUE,Skills!$G$45,0)+IF(Skills!$B$46=TRUE,Skills!$F$46,0)+IF(NFTs!$B$90=TRUE,NFTs!$G$90,0)+IF(NFTs!$B$87=TRUE,NFTs!$G$87,0)+(Buds!D21)+(Buds!M27)+IF(AND(Shrine!$I$30=TRUE,OR(Combo!$Y$32=\""Average Profit per Day\"",Combo!$Y$32=\""Lucro Médio por Dia\"")),Shrine!$O$30,0))*IF(NFTs!$B$86=TRUE,NFTs!$G$86,1)""}"
soybean,Soybean,crops,Crops,Medium crops,10,crops/crops/soybean.png,Informações CropsFrutasGH,13,B13,"[""Spring"", ""Autumn""]",Medium,10800,,1.5,2.3,180.0,,1,0.002986,0.0,10800,1.5,2.3,180.0,1,SFL Hub recursos.js.descarga from uploaded Nueva carpeta (2).zip,"{""time_seconds"": 8721, ""seed_cost_coins"": 1.5, ""sell_coins"": 2.3, ""stock"": 216.0, ""yield_per_plot"": 0.5315789474}","{""time_seconds"": ""=C13*IF(Skills!$B$17=TRUE,Skills!$F$17,1)*IF(Skills!$B$32=TRUE,Skills!$F$32,1)*IF(OR(NFTs!$B$37,NFTs!$B$38,NFTs!$B$39)=TRUE,NFTs!$G$37,1)*IF(NFTs!$B$47=TRUE,NFTs!$G$47,1)*IF(NFTs!$B$89=TRUE,NFTs!$G$89,1)*IF(NFTs!$B$88=TRUE,NFTs!$G$88,1)*(Buds!I21)*IF(Shrine!$B$21=TRUE,Shrine!$H$21,1)"", ""seed_cost_coins"": ""=D13*IF(NFTs!$B$39=TRUE,NFTs!$G$39,1)*IF(Skills!$B$26=TRUE,Skills!$F$26,1)"", ""sell_coins"": ""=E13*IF(Skills!$B$16=TRUE,Skills!$F$16,1)*IF(Skills!$B$40=TRUE,Skills!$F$40,1)"", ""stock"": ""=F13*IF(NFTs!$B$36=TRUE,NFTs!$G$36,1)"", ""yield_per_plot"": ""=(1*IF(Skills!$B$18=TRUE,Skills!$F$18,1)*IF(OR(NFTs!$B$38,NFTs!$B$39)=TRUE,NFTs!$G$38,1)*IF(NFTs!$B$84=TRUE,NFTs!$G$84,1)+IF(NFTs!$B$85=TRUE,NFTs!$G$85,0)+IF(NFTs!$B$103=TRUE,NFTs!$G$103,0)+IF(NFTs!$B$48=TRUE,NFTs!$G$48,0)+IF(NFTs!$B$49=TRUE,NFTs!$G$49,0)+IF(Skills!$B$34=TRUE,Skills!$F$34,0)+IF(NFTs!$B$45=TRUE,NFTs!$G$45,0)+IF(Skills!$B$45=TRUE,Skills!$G$45,0)+IF(Skills!$B$46=TRUE,Skills!$F$46,0)+IF(NFTs!$B$64=TRUE,NFTs!$G$64,0)+IF(NFTs!$B$95=TRUE,NFTs!$G$95,0)+IF(NFTs!$B$90=TRUE,NFTs!$G$90,0)+IF(NFTs!$B$87=TRUE,NFTs!$G$87,0)+(Buds!D21)+(Buds!M27)+IF(AND(Shrine!$I$30=TRUE,OR(Combo!$Y$32=\""Average Profit per Day\"",Combo!$Y$32=\""Lucro Médio por Dia\"")),Shrine!$O$30,0))*IF(NFTs!$B$86=TRUE,NFTs!$G$86,1)""}"
